iter	Passed	Remaining
0	98	98898
1	143	71626
2	182	60757
3	220	54874
4	256	50964
5	286	47465
6	328	46614
7	376	46693
8	405	44623
9	448	44435
10	477	42890
11	509	41967
12	543	41299
13	578	40727
14	617	40545
15	668	41084
16	718	41560
17	766	41821
18	799	41281
19	848	41593
20	890	41507
21	924	41101
22	989	42023
23	1036	42167
24	1089	42482
25	1132	42431
26	1178	42455
27	1217	42255
28	1250	41853
29	1287	41643
30	1323	41373
31	1363	41233
32	1392	40804
33	1432	40695
34	1466	40427
35	1499	40149
36	1563	40703
37	1612	40830
38	1683	41484
39	1733	41615
40	1779	41621
41	1844	42073
42	1888	42033
43	1936	42064
44	1987	42178
45	2037	42250
46	2097	42529
47	2128	42213
48	2210	42908
49	2269	43112
50	2315	43091
51	2375	43299
52	2401	42904
53	2413	42283
54	2451	42124
55	2488	41941
56	2537	41974
57	2575	41824
58	2621	41809
59	2679	41979
60	2733	42084
61	2774	41969
62	2818	41914
63	2874	42040
64	2923	42058
65	2958	41861
66	2988	41614
67	3043	41713
68	3090	41699
69	3128	41564
70	3167	41445
71	3200	41249
72	3246	41222
73	3274	40974
74	3309	40818
75	3345	40676
76	3381	40537
77	3427	40509
78	3480	40579
79	3521	40500
80	3558	40368
81	3604	40358
82	3661	40447
83	3706	40420
84	3748	40349
85	3782	40195
86	3822	40113
87	3857	39981
88	3896	39882
89	3929	39727
90	3956	39524
91	4001	39493
92	4043	39430
93	4099	39510
94	4146	39500
95	4207	39624
96	4251	39577
97	4295	39534
98	4334	39445
99	4378	39408
100	4408	39242
101	4480	39444
102	4523	39397
103	4562	39308
104	4606	39266
105	4665	39347
106	4710	39314
107	4781	39488
108	4844	39596
109	4907	39707
110	4955	39685
111	4998	39629
112	5071	39808
113	5148	40011
114	5191	39949
115	5244	39965
116	5305	40043
117	5416	40486
118	5526	40911
119	5603	41093
120	5703	41430
121	5793	41695
122	5850	41712
123	5901	41688
124	5942	41598
125	5979	41473
126	6032	41464
127	6068	41343
128	6116	41298
129	6135	41057
130	6150	40798
131	6165	40545
132	6197	40401
133	6212	40151
134	6242	39996
135	6286	39937
136	6302	39702
137	6315	39449
138	6355	39369
139	6393	39277
140	6437	39218
141	6484	39180
142	6535	39166
143	6578	39105
144	6629	39091
145	6713	39268
146	6832	39647
147	6888	39654
148	6944	39664
149	6987	39597
150	7036	39564
151	7088	39549
152	7140	39527
153	7180	39445
154	7238	39464
155	7283	39407
156	7339	39408
157	7410	39489
158	7464	39480
159	7514	39453
160	7564	39419
161	7608	39356
162	7639	39228
163	7667	39086
164	7726	39101
165	7766	39020
166	7786	38840
167	7800	38632
168	7817	38438
169	7830	38233
170	7844	38032
171	7859	37836
172	7924	37882
173	7986	37914
174	8048	37942
175	8103	37938
176	8150	37898
177	8202	37881
178	8261	37892
179	8307	37843
180	8356	37811
181	8405	37778
182	8440	37683
183	8490	37655
184	8549	37663
185	8604	37655
186	8662	37661
187	8726	37690
188	8769	37629
189	8815	37580
190	8855	37508
191	8897	37442
192	8941	37389
193	8986	37334
194	9026	37263
195	9073	37218
196	9112	37143
197	9174	37161
198	9264	37290
199	9325	37301
200	9370	37249
201	9433	37265
202	9499	37297
203	9543	37240
204	9585	37171
205	9627	37106
206	9670	37045
207	9709	36972
208	9757	36927
209	9800	36870
210	9850	36836
211	9905	36819
212	9975	36858
213	10076	37010
214	10146	37048
215	10250	37206
216	10361	37389
217	10428	37409
218	10506	37468
219	10575	37496
220	10669	37609
221	10691	37468
222	10733	37397
223	10797	37407
224	10843	37349
225	10864	37207
226	10877	37040
227	10899	36906
228	10929	36799
229	10947	36651
230	10962	36494
231	10977	36337
232	10995	36196
233	11006	36030
234	11016	35863
235	11028	35702
236	11039	35540
237	11050	35381
238	11061	35220
239	11072	35062
240	11081	34900
241	11092	34743
242	11104	34591
243	11118	34449
244	11130	34298
245	11140	34146
246	11150	33994
247	11161	33843
248	11171	33693
249	11181	33544
250	11192	33398
251	11202	33252
252	11213	33108
253	11222	32960
254	11231	32813
255	11240	32669
256	11249	32524
257	11259	32381
258	11268	32239
259	11277	32097
260	11288	31962
261	11298	31826
262	11309	31691
263	11320	31558
264	11331	31427
265	11341	31295
266	11351	31164
267	11362	31034
268	11372	30904
269	11383	30777
270	11394	30651
271	11404	30524
272	11416	30401
273	11426	30276
274	11437	30152
275	11447	30029
276	11458	29907
277	11468	29785
278	11478	29662
279	11487	29539
280	11497	29419
281	11506	29297
282	11516	29177
283	11525	29056
284	11535	28939
285	11544	28819
286	11553	28702
287	11563	28586
288	11571	28469
289	11581	28354
290	11590	28240
291	11600	28126
292	11609	28012
293	11619	27901
294	11627	27788
295	11637	27678
296	11646	27567
297	11655	27458
298	11666	27351
299	11675	27243
300	11685	27137
301	11694	27029
302	11704	26924
303	11713	26818
304	11723	26713
305	11732	26608
306	11741	26503
307	11749	26399
308	11758	26295
309	11767	26193
310	11777	26091
311	11786	25991
312	11798	25895
313	11807	25795
314	11816	25695
315	11825	25596
316	11834	25499
317	11843	25401
318	11853	25304
319	11862	25206
320	11871	25111
321	11880	25016
322	11890	24921
323	11898	24825
324	11907	24730
325	11917	24639
326	11926	24546
327	11935	24454
328	11945	24362
329	11956	24274
330	11965	24183
331	11974	24093
332	11984	24004
333	11993	23914
334	12002	23825
335	12010	23735
336	12020	23648
337	12029	23560
338	12039	23475
339	12048	23388
340	12057	23301
341	12066	23216
342	12076	23131
343	12085	23047
344	12095	22963
345	12103	22878
346	12112	22793
347	12121	22711
348	12130	22627
349	12139	22545
350	12148	22462
351	12159	22384
352	12170	22306
353	12181	22228
354	12191	22150
355	12202	22073
356	12212	21996
