iter	Passed	Remaining
0	55	55702
1	66	33051
2	74	24846
3	83	20898
4	93	18512
5	101	16873
6	110	15731
7	120	14975
8	130	14347
9	140	13890
10	150	13505
11	159	13139
12	168	12801
13	177	12482
14	186	12267
15	196	12112
16	207	11972
17	215	11769
18	224	11591
19	233	11460
20	242	11304
21	252	11240
22	261	11089
23	270	10981
24	278	10844
25	287	10761
26	295	10660
27	303	10551
28	312	10476
29	320	10357
30	328	10278
31	336	10172
32	344	10096
33	352	10020
34	360	9929
35	367	9849
36	375	9768
37	383	9702
38	391	9638
39	398	9561
40	406	9500
41	413	9435
42	421	9373
43	428	9309
44	435	9243
45	442	9181
46	449	9122
47	457	9067
48	464	9020
49	472	8975
50	479	8927
51	487	8884
52	494	8833
53	501	8787
54	509	8746
55	516	8709
56	523	8664
57	531	8624
58	538	8586
59	545	8547
60	552	8507
61	560	8474
62	567	8437
63	575	8419
64	583	8391
65	590	8352
66	597	8318
67	605	8294
68	612	8269
69	619	8234
70	626	8201
71	634	8172
72	641	8140
73	648	8116
74	655	8089
75	663	8063
76	670	8031
77	677	8002
78	685	7995
79	693	7980
80	701	7958
81	709	7947
82	718	7934
83	724	7905
84	732	7885
85	739	7863
86	747	7841
87	754	7817
88	762	7803
89	769	7780
90	776	7760
91	784	7740
92	791	7720
93	798	7696
94	804	7668
95	812	7652
96	819	7633
97	827	7618
98	834	7599
99	841	7576
100	848	7553
101	855	7535
102	862	7514
103	870	7495
104	877	7476
105	885	7466
106	892	7450
107	900	7437
108	907	7420
109	915	7409
110	922	7391
111	930	7378
112	937	7358
113	945	7348
114	951	7325
115	959	7312
116	966	7297
117	974	7281
118	981	7268
119	989	7256
120	996	7241
121	1004	7225
122	1011	7209
123	1018	7193
124	1025	7180
125	1032	7163
126	1040	7149
127	1047	7137
128	1055	7123
129	1062	7113
130	1070	7101
131	1078	7089
132	1085	7075
133	1092	7061
134	1100	7048
135	1107	7035
136	1114	7023
137	1121	7008
138	1129	6997
139	1136	6983
140	1144	6971
141	1151	6960
142	1158	6945
143	1166	6934
144	1174	6926
145	1181	6912
146	1189	6900
147	1196	6886
148	1203	6874
149	1212	6868
150	1219	6855
151	1227	6845
152	1234	6833
153	1241	6821
154	1249	6809
155	1256	6796
156	1263	6785
157	1270	6773
158	1278	6760
159	1286	6755
160	1294	6745
161	1301	6732
162	1308	6718
163	1315	6706
164	1322	6693
165	1330	6682
166	1337	6671
167	1344	6658
168	1351	6647
169	1359	6635
170	1366	6623
171	1373	6612
172	1380	6599
173	1387	6587
174	1394	6573
175	1401	6563
176	1408	6551
177	1415	6538
178	1423	6530
179	1431	6521
180	1438	6510
181	1445	6496
182	1452	6483
183	1459	6472
184	1466	6460
185	1473	6449
186	1480	6438
187	1488	6427
188	1495	6416
189	1502	6404
190	1509	6393
191	1516	6379
192	1523	6368
193	1529	6355
194	1536	6344
195	1543	6333
196	1550	6321
